NUMERO;COMUNA;HABITANTES;PARTICION
1;POPULAR;147382;5,64
2;SANTA CRUZ;120959;4,63
3;MANRIQUE;177232;6,78
4;ARANJUEZ;145325;5,56
5;CASTILLA;126939;4,86
6;DOCE DE OCTUBRE;183012;7,00
7;ROBLEDO;204954;7,84
8;VILLA HERMOSA;168399;6,44
9;BUENOS AIRES;171416;6,56
10;LA CANDELARIA;78937;3,02
11;LAURELES;101632;3,89
12;LA AMERICA;87849;3,36
13;SAN JAVIER;171854;6,58
14;EL POBLADO;111343;4,26
15;GUAYABAL;64856;2,48
16;BELEN;214967;8,23
50;SAN SEBASTIAN DE PALMITAS;6281;0,24
60;SAN CRISTOBAL;144316;5,52
70;ALTAVISTA;43556;1,67
80;SAN ANTONIO DE PRADO;112336;4,30
90;SANTA ELENA;29413;1,13
;;2612958;
